Jahr;Brandenburg/Berlin;Brandenburg;Baden-Wuerttemberg;Bayern;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Niedersachsen/Hamburg/Bremen;Nordrhein-Westfalen;Rheinland-Pfalz;Schleswig-Holstein;Saarland;Sachsen;Sachsen-Anhalt;Thueringen/Sachsen-Anhalt;Thueringen;Deutschland
1909;583.00;582.8;897.7;877.9;752.2;618.00;794.00;792.5;863.9;730.6;759.1;841.1;722.9;575.5;653.6;751.8;773.5
1910;586.1;585.3;1108.1;1036.1;786.1;593.6;758.7;759.1;893.1;890.2;823.1;1060.9;784.7;543.00;607.1;687.7;837.1
1911;396.8;397.1;699.00;641.6;519.6;447.2;539.5;540.7;602.6;595.9;669.8;720.5;501.6;352.6;396.2;450.9;556.7
1912;572.4;573.8;1004.9;1026.5;837.1;643.4;816.2;815.7;954.1;731.00;802.3;923.2;842.00;593.1;662.7;750.2;841.3
1913;488.8;489.4;934.3;933.3;752.00;550.4;675.7;673.8;833.1;776.3;630.4;882.2;725.8;489.7;567.9;666.3;745.5
1914;600.00;599.00;1091.1;919.3;821.1;662.9;785.5;785.7;901.6;836.9;832.6;998.9;707.3;595.00;666.3;756.00;823.2
1915;627.2;628.00;957.5;922.7;681.7;551.6;746.9;746.2;857.9;717.5;747.9;896.00;862.2;589.7;643.1;710.2;782.5
1916;627.6;628.00;1007.8;966.1;870.5;671.2;790.6;791.6;885.7;810.4;832.8;975.6;806.6;581.1;660.2;759.6;832.2
1917;492.8;493.2;897.7;813.7;659.9;528.8;647.8;646.7;789.00;721.6;695.4;797.5;643.8;488.1;557.3;644.4;697.9
1918;602.6;602.2;856.00;810.8;697.4;635.6;756.7;757.5;822.5;716.00;788.00;857.8;753.5;601.2;627.9;661.4;747.2
1919;561.3;562.00;940.5;906.8;669.2;582.2;621.7;621.1;764.00;739.5;645.4;897.5;774.00;496.4;545.8;608.00;730.2
1920;566.1;566.2;771.6;808.6;621.00;604.5;604.2;604.6;708.00;633.4;699.7;769.9;738.4;469.00;531.5;610.2;677.4
1921;524.1;522.9;601.5;662.4;477.7;566.3;575.5;576.4;568.00;401.5;633.6;432.9;699.6;484.6;523.4;572.4;578.4
1922;635.3;635.3;1247.2;1126.5;907.00;722.3;712.4;710.8;891.5;956.2;665.9;1041.7;866.5;617.3;709.7;826.00;894.00
1923;551.8;552.00;937.2;902.9;856.9;575.6;747.9;747.2;909.5;843.7;777.3;1002.1;757.2;574.4;632.8;706.5;789.7
1924;508.1;509.00;999.2;966.6;845.1;577.9;691.7;691.5;890.00;818.2;703.4;943.6;752.4;550.4;623.7;715.8;788.7
1925;579.4;578.8;907.2;884.4;830.4;605.2;756.2;756.9;939.8;821.5;806.7;1019.3;766.2;519.2;607.4;718.3;788.00
1926;759.8;760.2;917.00;976.8;804.5;740.9;896.5;895.4;1011.5;783.8;867.9;843.6;1031.9;733.2;763.1;800.7;885.00
1927;693.1;693.7;1079.5;974.1;800.4;753.2;844.1;844.8;893.3;845.4;917.4;988.6;854.1;652.8;700.4;760.4;868.3
1928;541.00;541.7;812.2;842.4;766.2;684.3;774.1;774.3;871.8;758.5;793.2;850.6;676.8;560.4;599.9;649.6;753.9
1929;434.1;433.8;725.3;714.9;554.6;483.7;539.00;538.8;615.2;606.7;580.8;669.8;572.5;434.1;476.1;529.00;591.3
1930;703.00;702.6;1109.00;997.1;805.8;680.1;725.8;725.8;879.6;878.5;730.6;1115.7;878.00;602.1;647.3;704.1;845.4
1931;640.9;639.8;1120.1;952.9;793.1;723.6;823.3;824.3;864.2;838.6;851.3;920.7;749.9;590.3;648.7;722.1;841.4
1932;536.5;537.9;843.9;839.6;721.00;582.4;737.00;736.7;793.4;772.7;734.7;875.3;746.8;544.1;597.2;664.1;735.6
1933;501.7;502.00;798.7;838.4;642.9;515.9;587.1;586.8;659.9;571.9;612.1;583.3;652.7;475.4;534.00;607.7;656.2
1934;488.2;487.2;717.9;700.9;614.00;499.00;566.4;565.9;699.7;619.4;633.2;729.2;634.4;433.00;476.7;531.7;615.3
1935;601.2;600.8;1031.1;957.5;785.7;663.4;754.8;755.6;852.7;790.5;828.3;953.00;755.1;578.4;639.5;716.4;811.2
1936;493.3;494.2;1072.4;1040.00;834.7;615.6;771.7;771.2;905.5;851.6;803.00;966.9;681.8;525.2;621.3;742.2;825.8
1937;615.2;616.4;913.00;936.9;681.9;672.8;755.5;756.1;790.2;748.7;842.5;931.1;782.3;672.00;688.00;708.1;789.7
1938;562.1;562.00;968.1;862.2;741.7;505.2;705.00;703.7;838.9;736.3;670.00;777.7;710.4;528.6;577.2;638.3;741.2
1939;728.6;728.2;1277.00;1107.8;908.4;666.1;797.1;796.6;891.7;899.5;734.7;1061.00;888.6;691.2;771.3;872.2;916.3
1940;565.3;565.5;1116.9;1061.6;816.1;590.9;794.3;793.3;894.1;833.6;720.2;987.2;802.9;577.6;675.4;798.4;847.4
1941;650.6;650.5;1050.6;1081.5;833.2;645.00;751.1;750.5;860.3;804.1;680.8;961.1;1021.7;690.00;783.8;901.9;866.1
1942;487.2;487.4;857.9;772.00;635.2;569.9;639.00;638.6;711.1;669.5;642.00;738.5;610.00;486.5;534.7;595.3;667.7
1943;394.5;394.6;745.8;727.9;612.6;455.3;618.00;617.7;737.9;670.3;639.6;803.5;498.3;433.7;483.2;545.4;620.1
1944;560.3;561.1;1061.8;1111.9;800.00;604.8;771.4;770.6;992.9;778.1;757.8;898.3;768.6;571.1;661.1;774.4;852.4
1945;569.6;569.00;938.8;877.6;757.1;602.9;734.9;735.2;880.9;770.9;803.3;851.6;724.2;573.4;639.4;722.5;772.5
1946;605.4;606.8;870.6;870.1;769.00;699.2;706.6;705.7;838.1;731.4;808.2;904.4;767.3;579.9;641.1;718.1;766.6
1947;516.4;515.00;854.7;804.4;674.7;573.2;664.9;664.4;757.7;684.00;645.5;862.7;599.9;464.4;543.3;642.4;688.8
1948;582.3;581.8;881.6;903.9;768.8;599.9;711.5;712.2;865.8;765.1;745.8;925.8;665.8;523.2;566.3;620.5;756.4
1949;527.3;527.7;648.3;736.1;576.8;618.00;702.2;703.3;742.1;578.7;746.8;634.00;659.00;491.8;540.1;600.9;656.4
1950;583.6;583.3;1014.00;916.1;895.7;684.5;780.9;780.9;886.3;923.9;861.7;1068.8;731.4;616.9;711.1;829.7;829.4
1951;520.6;520.7;929.9;810.4;706.00;605.4;778.1;779.1;897.3;807.1;876.5;920.9;572.3;536.4;582.6;640.6;750.8
1952;541.9;542.8;1079.7;1002.8;834.3;591.7;751.6;750.5;906.2;919.5;757.00;1062.2;740.4;593.4;684.9;800.00;831.00
1953;473.4;472.3;716.5;654.00;524.4;523.7;582.9;583.3;649.8;513.5;695.5;541.00;580.3;455.7;487.8;528.2;591.8
1954;653.3;652.2;997.1;1044.1;794.1;670.3;875.6;876.1;984.2;798.2;949.7;923.4;899.2;651.00;691.7;742.8;877.1
